code,lgcode,name
01000,010006,北海道
01100,011002,北海道札幌市
01202,012025,北海道函館市
01204,012041,北海道旭川市
01203,012033,北海道小樽市
02000,020001,青森県
02201,022012,青森県青森市
02203,022039,青森県八戸市
03000,030007,岩手県
03201,032018,岩手県盛岡市
04000,040002,宮城県
04100,041009,宮城県仙台市
05000,050008,秋田県
05201,052019,秋田県秋田市
06000,060003,山形県
06201,062014,山形県山形市
07000,070009,福島県
07201,072010,福島県福島市
07203,072036,福島県郡山市
07204,072044,福島県いわき市
08000,080004,茨城県
08201,082015,茨城県水戸市
09000,090000,栃木県
09201,092011,栃木県宇都宮市
10000,100005,群馬県
10201,102016,群馬県前橋市
10202,102024,群馬県高崎市
11000,110001,埼玉県
11100,111007,埼玉県さいたま市
11201,112011,埼玉県川越市
11203,112038,埼玉県川口市
11222,112224,埼玉県越谷市
12000,120006,千葉県
12100,121002,千葉県千葉市
12204,122041,千葉県船橋市
12217,122173,千葉県柏市
14000,140007,神奈川県
14100,141003,神奈川県横浜市
14130,141305,神奈川県川崎市
14150,141500,神奈川県相模原市
14201,142018,神奈川県横須賀市
14205,142051,神奈川県藤沢市
14207,142077,神奈川県茅ヶ崎市
15000,150002,新潟県
15100,151009,新潟県新潟市
19000,190004,山梨県
19201,192015,山梨県甲府市
20000,200000,長野県
20201,202011,長野県長野市
20202,202029,長野県松本市
13000,130001,東京都
13201,132012,東京都八王子市
13209,132098,東京都町田市
13101,131016,東京都千代田区
13102,131024,東京都中央区
13103,131032,東京都港区
13104,131041,東京都新宿区
13105,131059,東京都文京区
13106,131067,東京都台東区
13107,131075,東京都墨田区
13108,131083,東京都江東区
13109,131091,東京都品川区
13110,131105,東京都目黒区
13111,131113,東京都大田区
13112,131121,東京都世田谷区
13113,131130,東京都渋谷区
13114,131148,東京都中野区
13115,131156,東京都杉並区
13116,131164,東京都豊島区
13117,131172,東京都北区
13118,131181,東京都荒川区
13119,131199,東京都板橋区
13120,131202,東京都練馬区
13121,131211,東京都足立区
13122,131229,東京都葛飾区
13123,131237,東京都江戸川区
16000,160008,富山県
16201,162019,富山県富山市
17000,170003,石川県
17201,172014,石川県金沢市
18000,180009,福井県
18201,182010,福井県福井市
21000,210005,岐阜県
21201,212016,岐阜県岐阜市
22000,220001,静岡県
22100,221007,静岡県静岡市
22130,221309,静岡県浜松市
23000,230006,愛知県
23100,231002,愛知県名古屋市
23201,232017,愛知県豊橋市
23202,232025,愛知県岡崎市
23203,232033,愛知県一宮市
23211,232114,愛知県豊田市
24000,240001,三重県
24202,242021,三重県四日市市
25000,250007,滋賀県
25201,252018,滋賀県大津市
26000,260002,京都府
26100,261009,京都府京都市
27000,270008,大阪府
27100,271004,大阪府大阪市
27140,271403,大阪府堺市
27203,272035,大阪府豊中市
27205,272051,大阪府吹田市
27207,272078,大阪府高槻市
27210,272108,大阪府枚方市
27212,272124,大阪府八尾市
27215,272159,大阪府寝屋川市
27227,272272,大阪府東大阪市
28000,280003,兵庫県
28100,281000,兵庫県神戸市
28201,282014,兵庫県姫路市
28202,282022,兵庫県尼崎市
28203,282031,兵庫県明石市
28204,282049,兵庫県西宮市
29000,290009,奈良県
29201,292010,奈良県奈良市
30000,300004,和歌山県
30201,302015,和歌山県和歌山市
31000,310000,鳥取県
31201,312011,鳥取県鳥取市
32000,320005,島根県
32201,322016,島根県松江市
33000,330001,岡山県
33100,331007,岡山県岡山市
33202,332020,岡山県倉敷市
34000,340006,広島県
34100,341002,広島県広島市
34202,342025,広島県呉市
34207,342076,広島県福山市
35000,350001,山口県
35201,352012,山口県下関市
36000,360007,徳島県
37000,370002,香川県
37201,372013,香川県高松市
38000,380008,愛媛県
38201,382019,愛媛県松山市
39000,390003,高知県
39201,392014,高知県高知市
40000,400009,福岡県
40100,401005,福岡県北九州市
40130,401307,福岡県福岡市
40203,402036,福岡県久留米市
41000,410004,佐賀県
42000,420000,長崎県
42201,422011,長崎県長崎市
42202,422029,長崎県佐世保市
43000,430005,熊本県
43100,431001,熊本県熊本市
44000,440001,大分県
44201,442011,大分県大分市
45000,450006,宮崎県
45201,452017,宮崎県宮崎市
46000,460001,鹿児島県
46201,462012,鹿児島県鹿児島市
47000,470007,沖縄県
47201,472018,沖縄県那覇市
